Complaint,Category
I cannot add a new address and button does nothing.,Technical Issues
Flash sale prices are not reflected during checkout. and I need help urgently,Promotions
System declined my payment without any reason. and this is very frustrating,Billing & Transaction Problems
The shipping company marked it as delivered to the wrong city. and I need help urgently,Delivery
Site logs me out randomly. which is unacceptable,Technical Issues
I never received the promised sign-up bonus. and I don't know what to do next,Promotions
It looks like a returned item - packaging was already opened. - this is very frustrating,Refund & Returns
"Order timed out after payment, but money is gone.",Technical Issues
No updates in 7 days - where is my stuff? even after multiple attempts,Delivery
I paid for express delivery and it's still not shipped. - this is very frustrating,Delivery
The discount code I got by email doesn't work on any items. even after multiple attempts,Promotions
Your support team said I'd get refunded - it's been a week. despite following all instructions,Refund & Returns
It shipped to the wrong apartment. - this is very frustrating,Delivery
"Order timed out after payment, but money is gone. - this is very frustrating",Technical Issues
I never received the promised sign-up bonus. even after multiple attempts,Promotions
Site logs me out randomly. and there's no explanation anywhere,Technical Issues
I'm stuck on the loading screen forever. which is unacceptable,Technical Issues
No updates in 7 days - where is my stuff? - this is very frustrating,Delivery
Package was rerouted without telling me. - this is very frustrating,Delivery
It has a foul odor like chemicals. which is unacceptable,Product Integrity & Accuracy
I'm stuck on the loading screen forever. and I don't know what to do next,Technical Issues
I never received the promised sign-up bonus. which is unacceptable,Promotions
I clicked on a 15% off ad and it vanished at checkout.,Promotions
I can't add a new address - button does nothing. and I need help urgently,Technical Issues
"The return was delivered, but no refund yet. and I need help urgently",Refund & Returns
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Product Integrity & Accuracy
This isn't what I ordered - it's the wrong model. and I don't know what to do next,Product Integrity & Accuracy
I can't add a new address - button does nothing. please fix this ASAP,Technical Issues
There are defects in the stitching of this garment. please fix this ASAP,Product Integrity & Accuracy
The courier lost my order - I need a replacement ASAP. despite following all instructions,Delivery
"The box arrived empty, just packing materials. please fix this ASAP",Delivery
There are defects in the stitching of this garment. and I don't know what to do next,Product Integrity & Accuracy
Used Apple Pay - no order confirmation received. please fix this ASAP,Billing & Transaction Problems
The courier lost my order - I need a replacement ASAP. please fix this ASAP,Delivery
The discount code I got by email doesn't work on any items. and I don't know what to do next,Promotions
"I used a valid code and it applied, but was later removed. and I don't know what to do next",Promotions
"The box arrived empty, just packing materials. even after multiple attempts",Delivery
There are defects in the stitching of this garment. even after multiple attempts,Product Integrity & Accuracy
You promised a refund 10 days ago - still nothing in my account. - this is very frustrating,Refund & Returns
"Tracking says delivered, but nothing is at my door. despite following all instructions",Delivery
App is extremely slow today. despite following all instructions,Technical Issues
Duplicate orders were placed by mistake and I can't cancel. even after multiple attempts,Product Integrity & Accuracy
You sent me a tracking number that doesn't exist. even after multiple attempts,Delivery
"Tracking says delivered, but nothing is at my door. and it's really disappointing",Delivery
Error message keeps popping up during login. and I need help urgently,Technical Issues
You refunded the wrong amount. even after multiple attempts,Refund & Returns
Everything came except the most expensive item I paid for. please fix this ASAP,Product Integrity & Accuracy
My order shows 'fulfilled' but I never received it. please fix this ASAP,Product Integrity & Accuracy
The app froze during checkout and now my cart is empty. despite following all instructions,Technical Issues
Billing and shipping addresses keep getting swapped. please fix this ASAP,Billing & Transaction Problems
"The box arrived empty, just packing materials. and I need help urgently",Delivery
It has a foul odor like chemicals. even after multiple attempts,Product Integrity & Accuracy
I didn't approve this transaction. despite following all instructions,Billing & Transaction Problems
Billing and shipping addresses keep getting swapped. which is unacceptable,Billing & Transaction Problems
My tracking shows 'label created' for 5 days with no movement. - this is very frustrating,Delivery
It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,Promotions
I can't change my shipping method after ordering. even after multiple attempts,Account & Profile Management
The zipper broke the first time I used the bag. and I don't know what to do next,Product Integrity & Accuracy
The discount code I got by email doesn't work on any items. and it's really disappointing,Promotions
Search results don't load anything anymore. despite following all instructions,Technical Issues
"Referral code said $10 off, but it did nothing. which is unacceptable",Promotions
I received store credit instead of a cash refund I requested. please fix this ASAP,Refund & Returns
I want a refund but there's no option in the return menu. which is unacceptable,Refund & Returns
I didn't approve this transaction. and there's no explanation anywhere,Billing & Transaction Problems
Wrong items delivered - not even close to what I ordered. and I need help urgently,Delivery
It shipped to the wrong apartment. and there's no explanation anywhere,Delivery
Instructions were unclear and impossible to follow. which is unacceptable,Product Integrity & Accuracy
I updated my address but order still went to the old one. and I need help urgently,Account & Profile Management
I want a refund but there's no option in the return menu. and I need help urgently,Refund & Returns
Shipping info shows a state I don't live in. which is unacceptable,Account & Profile Management
Missing accessories from the package.,Delivery
The courier lost my order - I need a replacement ASAP. and it's really disappointing,Delivery
I never got tracking info in the first place. despite following all instructions,Delivery
Still waiting for confirmation that my refund is being processed. which is unacceptable,Refund & Returns
Used Apple Pay - no order confirmation received. and I don't know what to do next,Billing & Transaction Problems
My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,Promotions
"Tracking says delivered, but nothing is at my door. - this is very frustrating",Delivery
Your support team said I'd get refunded - it's been a week. which is unacceptable,Refund & Returns
Only part of my order arrived - the rest is missing. and it's really disappointing,Delivery
Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Product Integrity & Accuracy
Can't apply filters while browsing products. even after multiple attempts,Technical Issues
Flash sale prices aren't reflected during checkout. please fix this ASAP,Promotions
"Bank says payment went through, you say it didn't. and I need help urgently",Billing & Transaction Problems
"Referral code said $10 off, but it did nothing. and there's no explanation anywhere",Promotions
Wrong items delivered - not even close to what I ordered. please fix this ASAP,Delivery
Your support team said I'd get refunded - it's been a week. and it's really disappointing,Refund & Returns
Shipping info shows a state I don't live in. - this is very frustrating,Account & Profile Management
Missing accessories from the package. and it's really disappointing,Delivery
Flash sale prices aren't reflected during checkout. and I don't know what to do next,Promotions
I was charged twice for the same item. and I don't know what to do next,Billing & Transaction Problems
App is extremely slow today. even after multiple attempts,Technical Issues
One side of the headphones doesn't work. despite following all instructions,Product Integrity & Accuracy
"Referral code said $10 off, but it did nothing. - this is very frustrating",Promotions
Transaction failed but my card got debited anyway. please fix this ASAP,Billing & Transaction Problems
The app froze during checkout and now my cart is empty. and I need help urgently,Technical Issues
Wrong items delivered - not even close to what I ordered. and it's really disappointing,Delivery
It looks like a returned item - packaging was already opened. even after multiple attempts,Refund & Returns
Can't reset my password - reset link doesn't work. please fix this ASAP,Security and Privacy
