Complaint,Category,,,,,
"I'm sorry, but i want to scale up my level to the premium level.",Subscriptions,,,,,
My settings are not saving after I update them.,Account & Profile Management,,,,,
the referral credit was not added to my membership.,Promotions,,,,,
I opened the container and the product was missing.,Product Integrity & Accuracy,,,,,
"I'm sorry, but my purchase has been out for delivery for three days now!",Delivery,,,,,
I need a postage label for my box.,Refund & Returns,,,,,
this unit seems to be a pre-owned unit instead of new.,Product Integrity & Accuracy,,,,,
"Excuse me, i cannot find where to edit my personal data.",Account & Profile Management,,,,,
I didn't get the bonus with my transaction.,Promotions,,,,,
"Hello, I want to merge two accounts that I have.",Account & Profile Management,,,,,
"Hi, i want to exchange my order for a full refund.",Refund & Returns,,,,,
"I'm sorry, but The storefront keeps crashing whenever I try to log in.",Technical Issues,,,,,
"Hello, the return process is too complicated, I need assistance!",Refund & Returns,,,,,
Why is there an extra extra charge on my bill?,Billing & Transaction Problems,,,,,
why was I charged for a membership I already canceled?,Subscriptions,,,,,
the good is out of stock and I need to know when it will be replenished.,Inventory,,,,,
The website keeps freezing whenever I try to log in.,Technical Issues,,,,,
Why is there an extra fee on my invoice?,Billing & Transaction Problems,,,,,
i cannot find where to manage my personal details.,Account & Profile Management,,,,,
The site keeps crashing whenever I try to place an order.,Technical Issues,,,,,
"Hello, the storefront says available but it's actually on backorder.",Inventory,,,,,
My auto-renew is turned off but I was still charged.,Subscriptions,,,,,
my username is spelled incorrectly on my account details.,Account & Profile Management,,,,,
can I get a reimbursement if the parcel was never sent?,Refund & Returns,,,,,
the website is not encrypted and I am worried about my information.,Security and Privacy,,,,,
i haven't received a receipt for my payment.,Billing & Transaction Problems,,,,,
Why is there an extra extra charge on my receipt?,Billing & Transaction Problems,,,,,
"Excuse me, i want to use my loyalty points for this order.",Promotions,,,,,
the merchandise looks nothing like the advertised image on the website.,Product Integrity & Accuracy,,,,,
why was I billed for a membership I already canceled?,Subscriptions,,,,,
The invite credit was not added to my account.,Promotions,,,,,
"I'm sorry, but the price reduction promised in the email is not working!",Promotions,,,,,
"Excuse me, My promo code is not applying to my request.",Promotions,,,,,
the merchandise is unavailable and I need to know when it will be back in stock.,Inventory,,,,,
The storefront is not displaying product photos properly.,Technical Issues,,,,,
"Hi, i need a breakdown of the costs on my latest billing history.",Billing & Transaction Problems,,,,,
i want to delete my account permanently!,Account & Profile Management,,,,,
I need to change my password immediately!,Security and Privacy,,,,,
how do I update my marketing mail in my profile?,Account & Profile Management,,,,,
The storefront says available but it's actually on backorder.,Inventory,,,,,
The postal service lost my package and I need help.,Delivery,,,,,
"I'm sorry, but I need a postage label for my box.",Refund & Returns,,,,,
"Hello, The daily deal prices are not showing up in my shopping cart.",Promotions,,,,,
Can I get a money back if the box was never sent?,Refund & Returns,,,,,
my transaction was declined but the money was deducted from my bank.,Billing & Transaction Problems,,,,,
there is a bug in the application's latest update.,Technical Issues,,,,,
"Hi, i can't change my phone number on the account settings!",Account & Profile Management,,,,,
how do I update my email in my profile?,Account & Profile Management,,,,,
the reimbursement amount I received is less than what I paid!,Refund & Returns,,,,,
I opened the packaging and the unit was not in the box.,Product Integrity & Accuracy,,,,,
The stock level status changed from in stock to gone suddenly.,Inventory,,,,,
How do I start a send back for a product I don't want?,Refund & Returns,,,,,
