Complaint,Category,Urgency,target
I cannot add a new address and button does nothing.,Account & Shipping,Low,Account & Shipping | Low
Flash sale prices are not reflected during checkout. and I need help urgently,Promotions,Immediate,Promotions | Immediate
System declined my payment without any reason. and this is very frustrating,Payments,Immediate,Payments | Immediate
The shipping company marked it as delivered to the wrong city. and I need help urgently,Order Tracking,Medium,Order Tracking | Medium
Site logs me out randomly. which is unacceptable,Technical Issues,Medium,Technical Issues | Medium
I never received the promised sign-up bonus. and I don't know what to do next,Promotions,Medium,Promotions | Medium
It looks like a returned item — packaging was already opened. — this is very frustrating,Product Issues,Low,Product Issues | Low
"Order timed out after payment, but money is gone.",Payments,Low,Payments | Low
No updates in 7 days — where is my stuff? even after multiple attempts,Order Tracking,Medium,Order Tracking | Medium
I paid for express delivery and it’s still not shipped. — this is very frustrating,Order Tracking,Low,Order Tracking | Low
The discount code I got by email doesn’t work on any items. even after multiple attempts,Promotions,High,Promotions | High
Your support team said I’d get refunded — it's been a week. despite following all instructions,Refunds,Medium,Refunds | Medium
It shipped to the wrong apartment. — this is very frustrating,Account & Shipping,Low,Account & Shipping | Low
"Order timed out after payment, but money is gone. — this is very frustrating",Payments,Medium,Payments | Medium
I never received the promised sign-up bonus. even after multiple attempts,Promotions,Medium,Promotions | Medium
Site logs me out randomly. and there's no explanation anywhere,Technical Issues,High,Technical Issues | High
I’m stuck on the loading screen forever. which is unacceptable,Technical Issues,Immediate,Technical Issues | Immediate
No updates in 7 days — where is my stuff? — this is very frustrating,Order Tracking,Low,Order Tracking | Low
Package was rerouted without telling me. — this is very frustrating,Order Tracking,High,Order Tracking | High
It has a foul odor like chemicals. which is unacceptable,Product Issues,High,Product Issues | High
I’m stuck on the loading screen forever. and I don't know what to do next,Technical Issues,Medium,Technical Issues | Medium
I never received the promised sign-up bonus. which is unacceptable,Promotions,High,Promotions | High
I clicked on a 15% off ad and it vanished at checkout.,Promotions,Low,Promotions | Low
I can’t add a new address — button does nothing. and I need help urgently,Account & Shipping,Medium,Account & Shipping | Medium
"The return was delivered, but no refund yet. and I need help urgently",Refunds,Low,Refunds | Low
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Order Issues,Medium,Order Issues | Medium
This isn't what I ordered — it’s the wrong model. and I don't know what to do next,Product Issues,Immediate,Product Issues | Immediate
I can’t add a new address — button does nothing. please fix this ASAP,Account & Shipping,Low,Account & Shipping | Low
There are defects in the stitching of this garment. please fix this ASAP,Product Issues,High,Product Issues | High
The courier lost my order — I need a replacement ASAP. despite following all instructions,Order Tracking,Immediate,Order Tracking | Immediate
"The box arrived empty, just packing materials. please fix this ASAP",Order Issues,Immediate,Order Issues | Immediate
There are defects in the stitching of this garment. and I don't know what to do next,Product Issues,Medium,Product Issues | Medium
Used Apple Pay — no order confirmation received. please fix this ASAP,Payments,Medium,Payments | Medium
